Country,Actual,Predicted,Accuracy (%)
South Africa,2657,9467,91.343
Latvia,806,4048,91.343
Scotland,48033,58245,91.343
Malaysia,25667,32382,91.343
Peru,19985,20659,91.343
Macao,6098,19226,91.343
San Marino,624,24438,91.343
Greece,84836,91988,91.343
Bahrain,19870,30148,91.343
Lebanon,20663,23681,91.343
Brazil,961115,1166783,91.343
Spain,504283,551456,91.343
Morocco,115359,150655,91.343
Cambodia,69970,85823,91.343
England,371631,342834,91.343
Turkey,194070,449272,91.343
Serbia,30996,33448,91.343
Moldova,6740,13763,91.343
Ukraine,13320,14431,91.343
Indonesia,249116,285188,91.343
Estonia,5520,9587,91.343
Canada,14863,21450,91.343
Kenya,2052,11589,91.343
Norway,28169,29285,91.343
Morocco,178578,109218,91.343
Wales,27743,40371,91.343
Lebanon,7192,8317,91.343
South Korea,123849,53860,91.343
Norway,16843,17780,91.343
United States,2546144,2866552,91.343
Slovenia,8457,12175,91.343
South Korea,11911,23756,91.343
India,2369239,1911095,91.343
Scotland,22087,26912,91.343
England,78247,29650,91.343
Serbia,19802,18523,91.343
Russia,226105,83763,91.343
Dominican Republic,88977,94848,91.343
Liechtenstein,123,6777,91.343
Indonesia,268739,136354,91.343
Seychelles,1594,22915,91.343
Liechtenstein,404,15529,91.343
Brazil,317286,426158,91.343
Oman,1165,4324,91.343
United States,2455116,2088951,91.343
Austria,50143,42838,91.343
Malta,5450,20192,91.343
Peru,58290,57927,91.343
Greece,5426,9683,91.343
Indonesia,40614,33325,91.343
Sri Lanka,83587,72455,91.343
Sri Lanka,60553,35482,91.343
Israel,180640,176098,91.343
Moldova,12184,21166,91.343
Slovenia,2541,4647,91.343
Italy,327957,290791,91.343
Namibia,2325,6125,91.343
Romania,93436,92903,91.343
Morocco,178329,225168,91.343
Germany,97863,74073,91.343
Zimbabwe,4890,7613,91.343
Estonia,2900,6313,91.343
Scotland,48631,57837,91.343
Sri Lanka,62830,33319,91.343
Paraguay,1717,6456,91.343
Paraguay,12206,18592,91.343
Slovenia,14041,27727,91.343
Liechtenstein,1,2932,91.343
Albania,12160,16502,91.343
United States,2233006,1946301,91.343
Serbia,33735,46352,91.343
Russia,259362,109276,91.343
Italy,477893,457480,91.343
Spain,56696,52479,91.343
Slovakia,12048,15662,91.343
Lithuania,20437,33103,91.343
Malta,4845,20476,91.343
Hong Kong,14588,22056,91.343
Estonia,4764,14624,91.343
Zimbabwe,19648,18647,91.343
Qatar,17746,25355,91.343
Bulgaria,11830,20265,91.343
Japan,1000681,985747,91.343
Trinidad and Tobago,160,3496,91.343
Austria,65622,55928,91.343
Spain,58331,70613,91.343
Paraguay,5257,8814,91.343
Brazil,537959,916187,91.343
Tunisia,21993,21341,91.343
Bulgaria,11163,22408,91.343
Morocco,52243,56101,91.343
Liechtenstein,83,5409,91.343
Zimbabwe,22019,21253,91.343
Latvia,1856,7010,91.343
Cambodia,6024,6071,91.343
Dominican Republic,83439,141073,91.343
England,501259,452998,91.343
Norway,46970,93859,91.343
Serbia,37218,37416,91.343
Chile,169196,195703,91.343
Italy,34714,35214,91.343
Malaysia,18798,22181,91.343
Lithuania,27291,31781,91.343
Northern Ireland,13231,26636,91.343
Northern Ireland,17450,26475,91.343
Laos,22820,23003,91.343
Turkey,315757,152422,91.343
Luxembourg,2819,10839,91.343
Slovenia,4272,7399,91.343
Greece,45947,55543,91.343
Serbia,34930,36160,91.343
Guatemala,3536,4923,91.343
United Kingdom,496918,519700,91.343
Jordan,40498,70128,91.343
Hong Kong,13530,16518,91.343
England,304362,245873,91.343
Belgium,44508,29270,91.343
Slovenia,6405,12149,91.343
Kazakhstan,31789,24361,91.343
Malaysia,20538,25221,91.343
Panama,11455,25178,91.343
United Kingdom,470048,415571,91.343
Chile,218966,200260,91.343
South Africa,13710,11597,91.343
Czechia,96766,66844,91.343
Guatemala,3796,7777,91.343
Germany,280745,195402,91.343
Denmark,18476,21865,91.343
United States,1137572,1602562,91.343
Spain,63471,50482,91.343
Mexico,309886,211724,91.343
Liechtenstein,111,6390,91.343
South Korea,707992,123510,91.343
Slovakia,15094,13445,91.343
Latvia,1215,3794,91.343
Mexico,104685,49230,91.343
Bulgaria,14951,26306,91.343
Spain,289268,335946,91.343
Germany,44864,37111,91.343
Hungary,115097,107870,91.343
South Korea,83168,114776,91.343
Argentina,154709,86557,91.343
Argentina,166276,159131,91.343
United States,1644551,928540,91.343
Czechia,52071,57592,91.343
England,272972,272753,91.343
Denmark,12647,16514,91.343
Portugal,104054,129308,91.343
Israel,9135,25063,91.343
Finland,24779,22726,91.343
Malawi,2309,8816,91.343
Scotland,48864,45955,91.343
Argentina,10014,12837,91.343
Uruguay,39175,29139,91.343
Czechia,17791,26925,91.343
Wales,23616,39983,91.343
Slovakia,19219,25894,91.343
Austria,36630,48344,91.343
Norway,15927,11781,91.343
Greece,29418,30928,91.343
India,1882128,1630074,91.343
Turkey,274468,248756,91.343
Brunei,1040,7139,91.343
Curacao,2191,19846,91.343
North Macedonia,11440,33724,91.343
Malta,4932,19951,91.343
Ireland,11865,18785,91.343
New Zealand,14621,13942,91.343
South Korea,22182,30303,91.343
Belgium,27387,16394,91.343
Northern Ireland,13660,25250,91.343
Germany,223487,170949,91.343
Denmark,18120,20768,91.343
United States,2079147,1867232,91.343
England,285726,248823,91.343
Dominican Republic,25611,41895,91.343
Chile,140775,39509,91.343
Switzerland,53963,63444,91.343
Austria,52255,40859,91.343
England,333166,313659,91.343
Latvia,15480,27064,91.343
Switzerland,21642,25234,91.343
Northern Ireland,12559,20557,91.343
Australia,102507,131458,91.343
Denmark,4476,9092,91.343
Finland,25760,22124,91.343
Latvia,889,4691,91.343
Russia,155856,103435,91.343
Scotland,43566,57400,91.343
Peru,20830,15227,91.343
Czechia,12056,13744,91.343
Israel,21984,41018,91.343
Canada,406147,512625,91.343
Mongolia,46465,41765,91.343
Scotland,47074,63256,91.343
Panama,15677,27038,91.343
Romania,32464,33677,91.343
Slovenia,3893,10101,91.343
Ireland,29133,27895,91.343
Italy,297444,293917,91.343
South Africa,5395,8863,91.343
Uruguay,32742,56011,91.343
Latvia,3938,5836,91.343
Bulgaria,8711,10575,91.343
Poland,159857,104590,91.343
Liechtenstein,194,8971,91.343
Peru,47549,65938,91.343
Gibraltar,883,33528,91.343
Belgium,42064,44290,91.343
Romania,56786,50747,91.343
Malta,5884,22069,91.343
Estonia,8794,20417,91.343
Chile,136374,46835,91.343
Thailand,28456,49029,91.343
Azerbaijan,23058,24123,91.343
Uruguay,33342,39794,91.343
Bangladesh,152081,161258,91.343
Serbia,33881,39109,91.343
Azerbaijan,31813,37226,91.343
Paraguay,5785,5152,91.343
Peru,62477,24498,91.343
Scotland,47120,57036,91.343
Malta,1126,6804,91.343
Croatia,25377,49347,91.343
Gibraltar,951,36289,91.343
Hong Kong,18712,17851,91.343
Israel,77347,91533,91.343
Paraguay,5037,5942,91.343
Finland,18802,14182,91.343
Switzerland,66262,40490,91.343
England,417858,474794,91.343
Wales,23772,43253,91.343
Thailand,73662,29083,91.343
Malawi,2723,8048,91.343
Norway,12262,26509,91.343
Croatia,21798,17990,91.343
Thailand,138583,290649,91.343
Antigua and Barbuda,991,15780,91.343
Maldives,894,6968,91.343
Chile,170494,201052,91.343
Colombia,57114,44735,91.343
Hungary,60627,50410,91.343
Pakistan,313314,270587,91.343
Greece,28334,30964,91.343
Chile,79556,30178,91.343
Colombia,73134,96187,91.343
Israel,167135,110030,91.343
Ukraine,11170,25898,91.343
Lithuania,5304,9319,91.343
Faeroe Islands,175,7517,91.343
Moldova,10606,14177,91.343
Ireland,18969,26972,91.343
Thailand,14813,21832,91.343
Afghanistan,6487,8159,91.343
France,407080,398472,91.343
Germany,96562,46067,91.343
Israel,21724,31823,91.343
Bahrain,16960,28864,91.343
Slovakia,34058,45710,91.343
Scotland,3090,7140,91.343
Greece,47110,56104,91.343
Kazakhstan,44035,57470,91.343
Japan,173577,193437,91.343
Slovenia,4744,12937,91.343
Peru,68401,53849,91.343
Paraguay,6332,14033,91.343
Mexico,135880,32761,91.343
Montenegro,1899,7704,91.343
Czechia,33870,43392,91.343
Norway,44241,48713,91.343
Germany,836585,885755,91.343
France,216151,160789,91.343
United Kingdom,504206,663868,91.343
Norway,16631,33790,91.343
Canada,279487,279582,91.343
San Marino,445,18417,91.343
Slovakia,18430,25476,91.343
Croatia,24723,40465,91.343
Estonia,9508,21492,91.343
Denmark,16417,18509,91.343
Hungary,65167,84671,91.343
Austria,6330,11827,91.343
Bolivia,8699,6086,91.343
Slovenia,9256,10702,91.343
India,2920138,4570730,91.343
Finland,46834,43076,91.343
Luxembourg,6063,19740,91.343
Gibraltar,421,17634,91.343
Tunisia,25865,21629,91.343
Dominican Republic,93231,97926,91.343
Switzerland,80529,47284,91.343
Bulgaria,15520,13129,91.343
Brazil,1260947,703319,91.343
Denmark,4838,7962,91.343
Hungary,123668,108437,91.343
Argentina,259889,289187,91.343
Austria,6902,7917,91.343
India,2145255,2687200,91.343
Hungary,110798,99721,91.343
Greece,46451,56084,91.343
Thailand,221801,176837,91.343
Germany,95759,93070,91.343
Montenegro,1265,5874,91.343
Australia,116913,84086,91.343
Canada,37880,33749,91.343
Chile,293566,285122,91.343
Austria,36433,44006,91.343
Argentina,13999,6010,91.343
Brazil,211824,117776,91.343
Lebanon,5050,6784,91.343
Denmark,33853,36826,91.343
Turkey,275570,234408,91.343
Chile,66272,82457,91.343
Oman,1363,3823,91.343
Peru,19010,36029,91.343
Dominican Republic,106626,111507,91.343
Portugal,88221,100146,91.343
Latvia,1863,9649,91.343
Colombia,104031,82254,91.343
Slovenia,19664,26571,91.343
India,320826,287089,91.343
Bulgaria,9533,16662,91.343
Peru,70457,60650,91.343
Bangladesh,30311,68541,91.343
France,574651,507240,91.343
Israel,10705,28194,91.343
Barbados,2186,12626,91.343
Palestine,4583,17036,91.343
Wales,23436,29913,91.343
Kazakhstan,74562,78279,91.343
Canada,135995,110599,91.343
Colombia,62644,47926,91.343
Bolivia,3380,7728,91.343
Cambodia,16468,9181,91.343
Argentina,19266,14598,91.343
Bahrain,7094,11385,91.343
Austria,33054,23936,91.343
Northern Ireland,10202,23765,91.343
Cambodia,81787,65969,91.343
Cambodia,65160,54493,91.343
Hong Kong,34624,35475,91.343
Macao,1767,7604,91.343
Japan,62499,70300,91.343
Chile,121102,156925,91.343
Norway,31856,33194,91.343
England,419153,369574,91.343
Portugal,56390,70363,91.343
Norway,43609,46998,91.343
Lithuania,8630,13573,91.343
Wales,32429,47348,91.343
Luxembourg,2386,10132,91.343
Slovakia,35007,41742,91.343
Seychelles,2224,30265,91.343
Bahrain,6983,17069,91.343
Finland,36371,67457,91.343
Norway,34556,51397,91.343
England,407542,374360,91.343
Turkey,297776,282138,91.343
Japan,1038968,952838,91.343
Germany,660421,641010,91.343
Finland,9264,12019,91.343
Argentina,143917,164158,91.343
Germany,524553,491730,91.343
Isle of Man,411,8780,91.343
Lithuania,2640,4685,91.343
Brazil,528163,394109,91.343
Barbados,2171,13289,91.343
Malta,1101,6515,91.343
Pakistan,312283,490984,91.343
Belgium,17215,25579,91.343
Barbados,1644,10510,91.343
Israel,11252,32981,91.343
Slovenia,6000,16164,91.343
Finland,17525,27558,91.343
Argentina,72208,59933,91.343
Ukraine,8168,6490,91.343
Denmark,11864,16245,91.343
Croatia,6431,14094,91.343
Bulgaria,2341,5989,91.343
Montenegro,1445,6099,91.343
Zimbabwe,5810,6576,91.343
United Kingdom,529487,577194,91.343
Finland,17541,30707,91.343
Thailand,63827,53645,91.343
Bahrain,18114,33036,91.343
Israel,3101,27744,91.343
Turkey,140533,126351,91.343
Scotland,36997,48160,91.343
Uruguay,38672,60233,91.343
Austria,14444,19076,91.343
Northern Ireland,11658,23161,91.343
Norway,48983,54758,91.343
Moldova,9045,13851,91.343
Japan,828657,765296,91.343
Canada,39336,50211,91.343
Portugal,39665,55589,91.343
Spain,333833,325975,91.343
Thailand,40522,12600,91.343
Lithuania,14762,13166,91.343
Japan,37366,43382,91.343
Slovakia,32947,37262,91.343
Scotland,47692,61598,91.343
Switzerland,66216,54216,91.343
Bahrain,4191,8872,91.343
Switzerland,54151,39226,91.343
Malta,5692,23308,91.343
Slovenia,14197,32115,91.343
North Macedonia,13477,21109,91.343
Turkey,263205,138115,91.343
Mexico,220974,111533,91.343
South Korea,76053,102403,91.343
Norway,4082,7388,91.343
