Country,Actual,Predicted,Accuracy (%)
Afghanistan,6091.470588235294,6103.823529411765,99.7176
Albania,6133.727272727273,6040.909090909091,99.7176
Algeria,18798.2,18714.4,99.7176
Andorra,360.6896551724138,350.9310344827586,99.7176
Angola,13354.125,12751.8125,99.7176
Anguilla,130.79166666666666,136.54166666666666,99.7176
Antigua and Barbuda,417.23809523809524,409.8095238095238,99.71760000000002
Argentina,104211.29032258065,102265.80645161291,99.7176
Armenia,589.5714285714286,590.0,99.71760000000002
Aruba,1173.5,1230.2777777777778,99.7176
Australia,50920.40740740741,50553.18518518518,99.7176
Austria,40246.11111111111,40096.02777777778,99.7176
Azerbaijan,18582.75,18491.10714285714,99.71760000000002
Bahamas,708.7692307692307,692.8461538461538,99.7176
Bahrain,9903.65625,9813.5,99.7176
Bangladesh,64191.52,64806.96,99.7176
Barbados,1084.0,1105.25,99.7176
Belarus,5614.342857142857,5499.971428571429,99.7176
Belgium,56751.86842105263,56884.86842105263,99.7176
Belize,786.25,781.55,99.7176
Benin,615.0,578.5,99.7176
Bermuda,502.3243243243243,501.0810810810811,99.7176
Bhutan,12081.388888888889,10787.5,99.7176
Bolivia,18166.88,18032.0,99.7176
Bosnia and Herzegovina,2237.4,2054.3,99.7176
Botswana,2230.1666666666665,2209.1111111111113,99.7176
Brazil,521349.625,521650.6,99.7176
British Virgin Islands,199.2,200.0,99.7176
Brunei,845.4347826086956,875.1739130434783,99.7176
Bulgaria,9622.2,9552.4,99.7176
Burkina Faso,1176.0,960.0,99.7176
Cambodia,37987.96666666667,38948.13333333333,99.7176
Cameroon,1146.0,1101.6363636363637,99.7176
Canada,178069.05128205128,177838.4871794872,99.7176
Cape Verde,731.5833333333334,675.5833333333334,99.7176
Cayman Islands,566.3235294117648,564.6470588235294,99.7176
Central African Republic,1040.1818181818182,897.5454545454545,99.7176
Chile,106075.38235294117,105316.23529411765,99.7176
China,4819935.878787879,4799872.515151516,99.7176
Colombia,106426.18181818182,103442.22727272728,99.7176
Comoros,1114.25,858.75,99.7176
Congo,762.9375,748.5,99.7176
Cook Islands,259.0,220.66666666666666,99.7176
Costa Rica,10002.95,9981.75,99.7176
