Country,Actual,Predicted,Accuracy (%)
Afghanistan,6091.470588235294,6081.294117647059,82.0334
Albania,6133.727272727273,6014.272727272727,82.0334
Algeria,18798.2,18819.666666666668,82.0334
Andorra,360.6896551724138,4905.413793103448,82.0334
Angola,13354.125,5197.8125,82.0334
Anguilla,130.79166666666666,3396.5416666666665,82.0334
Antigua and Barbuda,417.23809523809524,711.5714285714286,82.0334
Argentina,104211.29032258065,83587.06451612903,82.0334
Armenia,589.5714285714286,23595.428571428572,82.0334
Aruba,1173.5,1026.0,82.0334
Australia,50920.40740740741,44579.92592592593,82.0334
Austria,40246.11111111111,40316.52777777778,82.0334
Azerbaijan,18582.75,18140.321428571428,82.0334
Bahamas,708.7692307692307,12082.23076923077,82.0334
Bahrain,9903.65625,9993.0,82.0334
Bangladesh,64191.52,32511.56,82.0334
Barbados,1084.0,36168.21875,82.0334
Belarus,5614.342857142857,5638.342857142857,82.0334
Belgium,56751.86842105263,57176.63157894737,82.0334
Belize,786.25,806.15,82.0334
Benin,615.0,625.6666666666666,82.0334
Bermuda,502.3243243243243,504.27027027027026,82.0334
Bhutan,12081.388888888889,11590.5,82.0334
Bolivia,18166.88,14932.92,82.0334
Bosnia and Herzegovina,2237.4,137533.7,82.0334
Botswana,2230.1666666666665,4930.277777777777,82.0334
Brazil,521349.625,345092.425,82.0334
British Virgin Islands,199.2,511.2,82.0334
Brunei,845.4347826086956,13962.91304347826,82.0334
Bulgaria,9622.2,9508.875,82.0334
Burkina Faso,1176.0,1176.0,82.0334
Cambodia,37987.96666666667,35035.8,82.0334
Cameroon,1146.0,1112.4545454545455,82.0334
Canada,178069.05128205128,170334.3076923077,82.0334
Cape Verde,731.5833333333334,8135.916666666667,82.0334
Cayman Islands,566.3235294117648,1818.764705882353,82.0334
Central African Republic,1040.1818181818182,2036440.5454545454,82.0334
Chile,106075.38235294117,169280.70588235295,82.0334
China,4819935.878787879,3905405.878787879,82.0334
Colombia,106426.18181818182,104345.5,82.0334
Comoros,1114.25,4360764.0,82.0334
Congo,762.9375,733.125,82.0334
Cook Islands,259.0,19801.0,82.0334
Costa Rica,10002.95,6019.05,82.0334
Cote d'Ivoire,4424.105263157895,10160.473684210527,82.0334
Croatia,12596.34375,9762.625,82.0334
Cuba,153111.8,117094.3,82.0334
Curacao,1999.0,7836.6875,82.0334
Cyprus,4121.555555555556,22052.666666666668,82.0334
Czechia,37181.5625,19953.96875,82.0334
Democratic Republic of Congo,665.4444444444445,666.6666666666666,82.0334
Denmark,19365.151515151516,19489.272727272728,82.0334
Djibouti,176.75,167.75,82.0334
Dominica,355.35483870967744,372.06451612903226,82.0334
Dominican Republic,66787.03703703704,59071.37037037037,82.0334
Ecuador,17863.414634146342,15856.073170731708,82.0334
Egypt,27137.433333333334,26901.7,82.0334
El Salvador,16375.25,17261.85,82.0334
England,319673.3333333333,313878.3333333333,82.0334
Equatorial Guinea,3026.4285714285716,3038.0,82.0334
Estonia,5652.6,15244.342857142858,82.0334
Eswatini,1182.3333333333333,13761.666666666666,82.0334
Ethiopia,25157.777777777777,10353.111111111111,82.0334
Faeroe Islands,241.125,5717.875,82.0334
Falkland Islands,55.46666666666667,115.93333333333334,82.0334
Fiji,3199.3571428571427,4144.428571428572,82.0334
Finland,19818.676470588234,11884.588235294117,82.0334
France,260066.89743589744,262797.46153846156,82.0334
French Polynesia,932.0,9683.375,82.0334
Gabon,417.6666666666667,393.6111111111111,82.0334
Gambia,420.0,386.3076923076923,82.0334
Georgia,3429.64,2817.64,82.0334
Germany,434634.92307692306,346452.5128205128,82.0334
Ghana,12045.45,6383.3,82.0334
Gibraltar,537.2666666666667,5068.533333333334,82.0334
Greece,38172.05882352941,84249.94117647059,82.0334
Greenland,197.04166666666666,1732.5,82.0334
Grenada,230.06896551724137,431.82758620689657,82.0334
Guatemala,4431.863636363636,2351.318181818182,82.0334
Guernsey,465.5882352941176,2694.5588235294117,82.0334
Guinea,4702.210526315789,5031.8421052631575,82.0334
Guinea-Bissau,475.0,600.25,82.0334
Guyana,2015.148148148148,3500.074074074074,82.0334
Honduras,2027.125,21983.6875,82.0334
Hong Kong,25861.51851851852,24256.296296296296,82.0334
Hungary,53369.45945945946,27038.945945945947,82.0334
Iceland,1996.1052631578948,29567.947368421053,82.0334
India,1425275.48,1404319.76,82.0334
Indonesia,188087.9642857143,194287.25,82.0334
