Country,Actual,Predicted,Accuracy (%)
Afghanistan,6091.470588235294,6086.941176470588,99.8652
Albania,6133.727272727273,6038.939393939394,99.8652
Algeria,18798.2,18758.433333333334,99.8652
Andorra,360.6896551724138,361.62068965517244,99.8652
Angola,13354.125,12933.9375,99.8652
Anguilla,130.79166666666666,135.375,99.8652
Antigua and Barbuda,417.23809523809524,420.8095238095238,99.86519999999999
Argentina,104211.29032258065,106132.3870967742,99.8652
Armenia,589.5714285714286,580.2857142857143,99.8652
Aruba,1173.5,1180.611111111111,99.8652
Australia,50920.40740740741,50645.96296296296,99.8652
Austria,40246.11111111111,40340.13888888889,99.8652
Azerbaijan,18582.75,18161.428571428572,99.8652
Bahamas,708.7692307692307,698.6153846153846,99.86519999999999
Bahrain,9903.65625,9897.46875,99.8652
Bangladesh,64191.52,65619.28,99.8652
Barbados,1084.0,1126.09375,99.8652
Belarus,5614.342857142857,5550.285714285715,99.8652
Belgium,56751.86842105263,56982.13157894737,99.8652
Belize,786.25,795.25,99.8652
Benin,615.0,585.1666666666666,99.8652
Bermuda,502.3243243243243,499.05405405405406,99.8652
Bhutan,12081.388888888889,11229.722222222223,99.8652
Bolivia,18166.88,18061.8,99.8652
Bosnia and Herzegovina,2237.4,2156.2,99.8652
Botswana,2230.1666666666665,2268.6111111111113,99.8652
Brazil,521349.625,527740.75,99.8652
British Virgin Islands,199.2,202.2,99.8652
Brunei,845.4347826086956,858.8695652173913,99.8652
Bulgaria,9622.2,9551.15,99.8652
Burkina Faso,1176.0,1058.0,99.8652
Cambodia,37987.96666666667,39213.46666666667,99.8652
Cameroon,1146.0,1331.7272727272727,99.8652
Canada,178069.05128205128,178070.84615384616,99.8652
Cape Verde,731.5833333333334,660.375,99.8652
Cayman Islands,566.3235294117648,593.3529411764706,99.8652
Central African Republic,1040.1818181818182,898.4545454545455,99.8652
Chile,106075.38235294117,104649.05882352941,99.8652
China,4819935.878787879,4775086.181818182,99.8652
Colombia,106426.18181818182,104578.90909090909,99.8652
Comoros,1114.25,1042.25,99.8652
Congo,762.9375,946.125,99.8652
Cook Islands,259.0,302.6666666666667,99.8652
Costa Rica,10002.95,10124.85,99.8652
Cote d'Ivoire,4424.105263157895,4474.368421052632,99.8652
